Time,Azimuth,Zenith
0.0004,-33.62431408,89.02451294
0.0008,-29.3309854,88.05444865
0.0012,-23.30379657,87.28744595
0.0016,-16.37630614,87.05781752
0.002,-9.117061721,87.68282965
0.0024,-1.912546483,89.35617346
0.0028,4.971740587,92.10217739
0.0032,11.36888718,95.76847979
0.0036,17.17558219,100.0329273
0.004,22.25457627,104.4071717
0.0044,26.25116706,108.2483296
0.0048,28.43352407,110.8544266
0.0052,27.97506447,111.7361816
0.0056,24.788879,110.8700447
0.006,19.75416717,108.5392494
0.0064,13.99998368,105.0102077
0.0068,8.379384148,100.4517782
0.0072,3.402999085,95.00020146
0.0076,-0.679520478,88.8143699
0.008,-3.797578376,82.10026935
0.0084,-5.99931664,75.13108793
0.0088,-7.40431516,68.29027348
0.0092,-8.145626532,62.15313053
0.0096,-8.269666596,57.56849779
0.01,-7.646574332,55.53213089
0.0104,-6.149971311,56.60152779
0.0108,-4.042040046,60.4054443
0.0112,-1.90118046,66.05249875
0.0116,-0.255159579,72.75030582
0.012,0.555588031,79.96726534
0.0124,0.344212925,87.35306972
0.0128,-0.969175671,94.64749878
0.0132,-3.371127325,101.6215515
0.0136,-6.728352195,108.0346432
0.014,-10.71566192,113.5841114
0.0144,-14.70811916,117.83294
0.0148,-17.75515443,120.1658942
0.0152,-18.96004565,119.9813492
0.0156,-18.18859032,117.2026996
0.016,-16.01555068,112.4688685
0.0164,-12.96176302,106.6809702
0.0168,-9.201798737,100.5973305
0.0172,-4.715159011,94.75728553
0.0176,0.53943073,89.53076872
0.018,6.520588383,85.16015757
0.0184,13.04234857,81.77267422
0.0188,19.72595295,79.38302663
0.0192,25.94559934,77.9201038
0.0196,30.78273787,77.30774649
0.02,33.16446432,77.57285871
0.0204,32.46109092,78.81992417
0.0208,29.03399402,80.98038705
0.0212,23.79773597,83.67155785
0.0216,17.50386356,86.35125199
0.022,10.58720636,88.51171358
0.0224,3.312879855,89.78007279
0.0228,-4.09695472,89.96059316
0.0232,-11.41648624,89.05250538
0.0236,-18.40338586,87.24985884
0.024,-24.75165253,84.92097561
0.0244,-29.96715214,82.55707138
0.0248,-33.24421446,80.65754865
0.0252,-33.68451066,79.53775183
0.0256,-31.03379022,79.2236341
0.026,-25.99896365,79.63732388
0.0264,-19.63734102,80.81491872
0.0268,-12.81947598,82.88731127
0.0272,-6.136013068,85.96078263
0.0276,0.050037662,90.03877722
0.028,5.555228352,94.99832949
0.0284,10.33244209,100.5895846
0.0288,14.4064111,106.4255704
0.0292,17.75703403,111.9453587
0.0296,20.1285246,116.380483
0.03,20.90255981,118.8656725
0.0304,19.49365119,118.855694
0.0308,16.13507978,116.492552
0.0312,11.80435105,112.3445196
0.0316,7.475548892,106.9511011
0.032,3.776324826,100.6908608
0.0324,1.02949161,93.83521215
0.0328,-0.637804946,86.61285928
0.0332,-1.2211372,79.25362083
0.0336,-0.808964126,72.02967517
0.034,0.411255911,65.3180362
0.0344,2.122603196,59.69729836
0.0348,3.872329967,56.01774429
0.0352,5.212989787,55.18393407
0.0356,5.965811144,57.48637025
0.036,6.183753709,62.28035929
0.0364,5.86089918,68.56241405
0.0368,4.867545046,75.51913962
0.0372,3.042466103,82.60988034
0.0376,0.26315664,89.47378106
0.038,-3.514657741,95.84848205
0.0384,-8.216321954,101.5268279
0.0388,-13.58666484,106.3332806
0.0392,-19.1012786,110.0933586
0.0396,-23.88194006,112.574599
0.04,-26.79215124,113.4381946
0.0404,-27.02389095,112.3772439
0.0408,-24.76931129,109.4769438
0.0412,-20.86266464,105.3076465
0.0416,-15.96468594,100.6092441
0.042,-10.36145101,96.02676402
0.0424,-4.147759014,92.03884844
0.0428,2.595039899,88.9595988
0.0432,9.706312297,86.9400208
0.0436,16.90999826,85.96239838
0.044,23.78885621,85.84874751
0.0444,29.72405142,86.31085546
0.0448,33.83095704,87.06313122
0.0452,35.1467213,87.96784595
0.0456,33.28865418,89.04630631
0.046,28.82869212,90.25654223
0.0464,22.73040179,91.3403875
0.0468,15.77348423,91.91912653
0.0472,8.476457192,91.65069132
0.0476,1.195652826,90.32847353
0.048,-5.81317079,87.92284012
0.0484,-12.37514164,84.58754554
0.0488,-18.36202737,80.65153549
0.0492,-23.59049657,76.60970923
0.0496,-27.63635148,73.09686529
0.05,-29.70624908,70.76985464
0.0504,-29.0008332,70.03700603
0.0508,-25.54384626,70.87282614
0.0512,-20.27271428,73.02804768
0.0516,-14.29863428,76.30834256
0.052,-8.445171288,80.60449373
0.0524,-3.207545592,85.81546822
0.0528,1.170265901,91.79717965
0.0532,4.620781081,98.34344407
0.0536,7.193933811,105.1689295
0.054,9.002275283,111.8666049
0.0544,10.14290853,117.8275873
0.0548,10.56933138,122.1751254
0.0552,10.02022216,123.9376039
0.0556,8.325347276,122.653698
0.056,5.847721619,118.7612264
0.0564,3.284325752,113.1222306
0.0568,1.223012949,106.4664393
0.0572,0.021072409,99.27932996
0.0576,-0.137168208,91.88643757
0.058,0.819066977,84.53786511
0.0584,2.866880514,77.46349699
0.0588,5.866691399,70.91760963
0.0592,9.492562624,65.236372
0.0596,13.12907388,60.91744794
0.06,15.86490313,58.64942385
0.0604,16.89944185,59.05364853
0.0608,16.18517993,62.12810633
0.0612,14.25795546,67.14514488
0.0616,11.53167356,73.17977503
0.062,8.10463272,79.49071018
0.0624,3.922146806,85.56240211
0.0628,-1.069347301,91.04210868
0.0632,-6.831972184,95.69431684
0.0636,-13.17652981,99.38629719
0.064,-19.7087864,102.0828282
0.0644,-25.76857011,103.8159565
0.0648,-30.39198854,104.602794
0.0652,-32.49945032,104.3539113
0.0656,-31.54823748,102.9484777
0.066,-28.00039892,100.5081561
0.0664,-22.77334231,97.48317645
0.0668,-16.55912071,94.45329732
0.0672,-9.733794164,91.93805128
0.0676,-2.523508991,90.31187394
0.068,4.868135236,89.77083305
0.0684,12.21404388,90.31733749
0.0688,19.25026037,91.76059645
0.0692,25.6282751,93.74003343
0.0696,30.79458878,95.78579538
0.07,33.8953471,97.44592706
0.0704,34.06134806,98.4707777
0.0708,31.14962958,98.86579102
0.0712,25.93395682,98.67324288
0.0716,19.44823891,97.7946212
0.072,12.5130868,96.04876302
0.0724,5.683509919,93.29800426
0.0728,-0.693322559,89.52300436
0.0732,-6.435612239,84.84359599
0.0736,-11.48808579,79.51749805
0.074,-15.85450934,73.94814608
0.0744,-19.4680877,68.71516829
0.0748,-21.98885122,64.58961152
0.0752,-22.71393199,62.38984826
0.0756,-21.07436022,62.56590779
0.076,-17.40894417,64.92501496
0.0764,-12.75931967,68.94363947
0.0768,-8.109256111,74.1586505
0.0772,-4.083493826,80.24728498
0.0776,-1.001196203,86.96711978
0.078,1.01637094,94.09958605
0.0784,1.9732156,101.4123789
0.0788,1.965461419,108.619531
0.0792,1.178526821,115.3155229
0.0796,-0.102025325,120.8746251
0.08,-1.513502246,124.3954414
0.0804,-2.746535676,124.9780631
0.0808,-3.682074626,122.4237481
0.0812,-4.274124177,117.451597
0.0816,-4.382615939,111.0568605
0.082,-3.805392544,104.0114774
0.0824,-2.360130024,96.82120139
0.0828,0.075188947,89.82560531
0.0832,3.539267534,83.27766906
0.0836,7.952593236,77.3871646
0.084,13.0547262,72.34817955
0.0844,18.30949101,68.37649101
0.0848,22.81901138,65.77181861
0.0852,25.4516305,64.94428515
0.0856,25.48269788,66.2124557
0.086,23.20002347,69.4179186
0.0864,19.4248064,73.91141192
0.0868,14.73866907,78.9231172
0.0872,9.361146569,83.81157523
0.0876,3.348684031,88.11059525
0.088,-3.236276634,91.51506794
0.0884,-10.23775829,93.87509345
0.0888,-17.36846413,95.20030833
0.0892,-24.17997894,95.65004601
0.0896,-30.0031641,95.47911457
0.09,-33.90561074,94.92036633
0.0904,-34.93962778,94.0534083
0.0908,-32.82704402,92.84086419
0.0912,-28.2220262,91.37007309
0.0916,-22.07447531,89.95925486
0.092,-15.10787854,89.02696793
0.0924,-7.791212962,88.93594245
0.0928,-0.451458746,89.90307666
0.0932,6.664416208,91.96217057
0.0936,13.37187428,94.95826066
0.094,19.51495052,98.55718042
0.0944,24.86112031,102.2609947
0.0948,28.91698073,105.4490296
0.0952,30.83842897,107.5158056
0.0956,29.87122624,108.1316748
0.096,26.15148164,107.3580419
0.0964,20.66179403,105.4016702
0.0968,14.48685678,102.3862476
0.0972,8.417413831,98.3654989
0.0976,2.931959888,93.4082369
0.098,-1.731252396,87.64551347
0.0984,-5.50674145,81.28498551
0.0988,-8.443766688,74.62527078
0.0992,-10.64309833,68.0975717
0.0996,-12.15770182,62.34236023
0.1,-12.84052121,58.2553737
0.1004,-12.30919766,56.76803221
0.1008,-10.38090414,58.24077721
0.1012,-7.529839412,62.18550723
0.1016,-4.555520221,67.78347625
0.102,-2.091758822,74.370529
0.1024,-0.507182322,81.50588431
0.1028,0.017708586,88.88678328
0.1032,-0.578486982,96.27141119
0.1036,-2.263152004,103.4272708
0.104,-4.890429122,110.0845195
0.1044,-8.135729414,115.8712653
0.1048,-11.40127769,120.2276301
0.1052,-13.83231799,122.3960973
0.1056,-14.73699222,121.7512097
0.106,-14.13604292,118.3845535
0.1064,-12.49887057,113.1041447
0.1068,-10.12697558,106.8464511
0.1072,-7.048978214,100.3296784
0.1076,-3.182482869,94.04409399
0.108,1.534380682,88.32548559
0.1084,7.065226609,83.4033149
0.1088,13.21705892,79.41718071
0.1092,19.5806252,76.42527489
0.1096,25.46254453,74.43859738
0.11,29.85711462,73.50315586
0.1104,31.68813496,73.76919823
0.1108,30.50860429,75.36246273
0.1112,26.87232182,78.09866105
0.1116,21.68579581,81.46129706
0.112,15.57689836,84.83871243
0.1124,8.863990275,87.70425419
0.1128,1.73646626,89.68466258
0.1132,-5.618904075,90.58466904
0.1136,-12.97248419,90.39992336
0.114,-20.03739035,89.31618124
0.1144,-26.42125911,87.68288248
0.1148,-31.51158344,85.94367774
0.1152,-34.41275617,84.49902272
0.1156,-34.2970101,83.53595634
0.116,-31.13473015,83.02927334
0.1164,-25.75583572,82.97993634
0.1168,-19.16402427,83.54737782
0.1172,-12.12858132,84.9584886
0.1176,-5.168668186,87.37864964
0.118,1.384301793,90.840956
0.1184,7.349162195,95.22772718
0.1188,12.65990737,100.2732436
0.1192,17.29485934,105.5586245
0.1196,21.13499395,110.4890938
0.12,23.75534626,114.2990157
0.1204,24.38424311,116.2266342
0.1208,22.4941773,115.9153555
0.1212,18.53057217,113.5934987
0.1216,13.58235252,109.7307669
0.122,8.631151039,104.714695
0.1224,4.294185681,98.81520971
0.1228,0.885959428,92.24797713
0.1232,-1.47778631,85.22311062
0.1236,-2.808722057,77.97703039
0.124,-3.209300444,70.81128111
0.1244,-2.859403654,64.16146215
0.1248,-2.004282604,58.69966088
0.1252,-0.902375463,55.36949436
0.1256,0.275581163,55.0474948
0.126,1.44191453,57.833619
0.1264,2.432103187,62.9501917
0.1268,2.978829212,69.4250218
0.1272,2.818746636,76.53210301
0.1276,1.754609714,83.80014582
0.128,-0.332379794,90.90930991
0.1284,-3.473990848,97.61444838
0.1288,-7.585179251,103.7016557
0.1292,-12.40058746,108.9563295
0.1296,-17.3747369,113.1183555
0.13,-21.59701491,115.8175713
0.1304,-23.95475194,116.5752821
0.1308,-23.81726078,115.0748113
0.1312,-21.55392721,111.5577584
0.1316,-17.95169965,106.7478009
0.132,-13.50701798,101.4361217
0.1324,-8.376176354,96.25526126
0.1328,-2.581739292,91.65666379
0.1332,3.82967786,87.93582662
0.1336,10.70522081,85.24199642
0.134,17.74583434,83.57523111
0.1344,24.47170998,82.7979373
0.1348,30.16365589,82.6931464
0.1352,33.8453566,83.08438632
0.1356,34.59467845,83.9471337
0.136,32.24271058,85.32350795
0.1364,27.51604919,87.07311113
0.1368,21.34207381,88.81915769
0.1372,14.3860996,90.10799729
0.1376,7.068290401,90.5602516
0.138,-0.312734038,89.95118723
0.1384,-7.517730776,88.24379494
0.1388,-14.35079914,85.593839
0.1392,-20.62562579,82.33883665
0.1396,-26.05792746,78.97593722
0.14,-30.08644332,76.10567141
0.1404,-31.8278599,74.27698832
0.1408,-30.58896016,73.74509855
0.1412,-26.61679925,74.42590269
0.1416,-20.92647233,76.16194555
0.142,-14.56912348,78.89783585
0.1424,-8.300159932,82.63109941
0.1428,-2.580309337,87.3222213
0.1432,2.357834959,92.85148643
0.1436,6.449490928,99.00860045
0.144,9.74038635,105.4807351
0.1444,12.31419677,111.8124098
0.1448,14.17152539,117.3345357
0.1452,15.05984908,121.1424782
0.1456,14.4918859,122.3599047
0.146,12.30279405,120.7275943
0.1464,9.081256915,116.7665839
0.1468,5.711199732,111.2408734
0.1472,2.859530662,104.7477284
0.1476,0.901732169,97.68506113
0.148,0.013651197,90.33486108
0.1484,0.247280513,82.93245731
0.1488,1.560165537,75.71471541
0.1492,3.80041558,68.9689729
0.1496,6.647495822,63.10496374
0.15,9.530832679,58.74551072
0.1504,11.67054802,56.71032744
0.1508,12.49198286,57.61184179
0.1512,12.06013277,61.26106325
0.1516,10.75289957,66.78110895
0.152,8.758049568,73.23634025
0.1524,6.042343461,79.93667557
0.1528,2.501972347,86.41794187
0.1532,-1.929614137,92.3607217
0.1536,-7.215738621,97.5406188
0.154,-13.1591829,101.8097053
0.1544,-19.33632269,105.0842755
0.1548,-25.02218226,107.3062412
0.1552,-29.17385776,108.362762
0.1556,-30.72980307,108.0458841
0.156,-29.34600602,106.2374081
0.1564,-25.65648217,103.1924831
0.1568,-20.54294229,99.49113436
0.1572,-14.56521802,95.77086613
0.1576,-7.985632705,92.560958
0.158,-0.959344184,90.23101857
0.1584,6.341875955,88.97461961
0.1588,13.68464063,88.79855176
0.1592,20.75801023,89.52406466
0.1596,27.12468038,90.81642051
0.16,32.11386829,92.26299138
0.1604,34.79509763,93.51819138
0.1608,34.39369731,94.45311911
0.1612,30.9935295,95.10093249
0.1616,25.46984366,95.41114951
0.162,18.7901914,95.16567858
0.1624,11.67159893,94.09647068
0.1628,4.597399139,92.01396309
0.1632,-2.116490921,88.87332305
0.1636,-8.288379996,84.79090072
0.164,-13.83884675,80.04028353
0.1644,-18.71635714,75.05432825
0.1648,-22.74488509,70.43881179
0.1652,-25.41585108,66.94578597
0.1656,-25.90648623,65.27233971
0.166,-23.75241757,65.6863592
0.1664,-19.50227317,67.93910752
0.1668,-14.27609032,71.62155619
0.1672,-9.043497779,76.4198631
0.1676,-4.410435074,82.11377202
0.168,-0.685931348,88.51218091
0.1684,2.019357764,95.41181767
0.1688,3.723774877,102.5705685
0.1692,4.534260619,109.6696087
0.1696,4.620741551,116.2420167
0.17,4.178295581,121.5712257
0.1704,3.348859804,124.6823472
0.1708,2.171373561,124.7408872
0.1712,0.732861743,121.7481554
0.1716,-0.671282509,116.5225173
0.172,-1.65760153,109.9999793
0.1724,-1.912604168,102.8575978
0.1728,-1.229308862,95.53319099
0.1732,0.505774926,88.32858219
0.1736,3.31642004,81.48270176
0.174,7.111482402,75.21517044
0.1744,11.62115226,69.76312899
0.1748,16.29366651,65.43401013
0.1752,20.2142024,62.67094558
0.1756,22.30491419,62.01652347
0.176,22.03707077,63.77072359
0.1764,19.84299271,67.60095983
0.1768,16.45457065,72.71592394
0.1772,12.27925821,78.31194479
0.1776,7.414548088,83.77026325
0.178,1.853861223,88.65599699
0.1784,-4.368968938,92.68356687
0.1788,-11.10279342,95.70373767
0.1792,-18.03643887,97.70500592
0.1796,-24.65868778,98.79999708
0.18,-30.20086128,99.16334138
0.1804,-33.64731805,98.91195564
0.1808,-34.11224068,98.01964154
0.1812,-31.53912834,96.45133115
0.1816,-26.71611167,94.40691987
0.182,-20.53955215,92.31932962
0.1824,-13.61502782,90.67240507
0.1828,-6.314872594,89.85829964
0.1832,1.089469716,90.10731094
0.1836,8.3653202,91.45888806
0.184,15.30375849,93.75709941
0.1844,21.68573682,96.66322817
0.1848,27.17319019,99.68498481
0.1852,31.13927706,102.247871
0.1856,32.67349482,103.8634452
0.186,31.15739941,104.3449304
0.1864,26.94500528,103.7861933
0.1868,21.071924,102.2902279
0.1872,14.55010466,99.84716955
0.1876,8.0977641,96.41250384
0.188,2.157064084,91.99929183
0.1884,-3.044868532,86.71752733
0.1888,-7.44245053,80.78117567
0.1892,-11.07465061,74.51793808
0.1896,-14.00231037,68.40713002
0.19,-16.16583594,63.14248665
0.1904,-17.20560761,59.62662145
0.1908,-16.55028629,58.66778758
0.1912,-14.08080152,60.4277953
0.1916,-10.49727225,64.370075
0.192,-6.749235778,69.79423901
0.1924,-3.525337782,76.16989056
0.1928,-1.204320836,83.13988697
0.1932,0.043088662,90.4410272
0.1936,0.174157626,97.84269937
0.194,-0.758876749,105.1018912
0.1944,-2.5986488,111.9118041
0.1948,-5.03214722,117.8229215
0.1952,-7.527004158,122.1498127
0.1956,-9.39662054,124.0197986
0.196,-10.18635953,122.8514486
0.1964,-9.977092627,118.935151
0.1968,-9.03429889,113.2025351
0.1972,-7.434665123,106.57669
0.1976,-5.091644298,99.71560935
0.198,-1.885910609,93.05718585
0.1984,2.250551304,86.90535044
0.1988,7.27922007,81.48056587
0.1992,12.99835892,76.94063465
0.1996,18.9708189,73.39739682
0.2,24.4421998,70.96009102
0.2004,28.33829552,69.81159539
0.2008,29.62459369,70.21288192
0.2012,28.06530268,72.26139472
0.2016,24.36043724,75.62447138
0.202,19.35313941,79.66272762
0.2024,13.53233237,83.71914452
0.2028,7.106596359,87.26608561
0.2032,0.199646322,89.93977706
0.2036,-7.029842656,91.54900377
0.204,-14.34359753,92.08384381
0.2044,-21.40567126,91.71388951
0.2048,-27.73297042,90.75545317
0.2052,-32.59751893,89.58537329
0.2056,-35.04130209,88.49174987
0.206,-34.35370932,87.55116422
0.2064,-30.73043471,86.73424737
0.2068,-25.08125051,86.14592807
0.2072,-18.33238416,86.06005069
0.2076,-11.14803105,86.78126384
0.208,-3.975927452,88.51991585
0.2084,2.883075857,91.33069573
0.2088,9.245483131,95.09793581
0.2092,15.0157199,99.54059762
0.2096,20.10816601,104.2137611
0.21,24.28593464,108.5053053
0.2104,26.96030491,111.6848668
0.2108,27.27623504,113.1261778
0.2112,24.85030771,112.6428009
0.2116,20.32743395,110.489428
0.212,14.84382771,107.0096394
0.2124,9.349052098,102.4463478
0.2128,4.434723403,96.97342024
0.2132,0.403738531,90.75953681
0.2136,-2.637806224,84.00267672
0.214,-4.713682234,76.95215755
0.2144,-5.932909561,69.94564745
0.2148,-6.450096617,63.48218094
0.2152,-6.39974532,58.31966598
0.2156,-5.798183379,55.45147262
0.216,-4.566882995,55.65251753
0.2164,-2.82274451,58.82245861
0.2168,-0.996711835,64.12108039
0.2172,0.4256704,70.65962206
0.2176,1.091087785,77.8116783
0.218,0.787012262,85.17149012
0.2184,-0.593225178,92.4534329
0.2188,-3.064598345,99.42312867
0.2192,-6.529391133,105.8535976
0.2196,-10.71395365,111.4830829
0.22,-15.06393277,115.9539761
0.2204,-18.67061009,118.7485414
0.2208,-20.50809966,119.2671538
0.2212,-20.15392088,117.2421514
0.2216,-18.08042419,113.1021692
0.222,-14.9450139,107.6972303
0.2224,-11.06483014,101.8345856
0.2228,-6.483994724,96.11495278
0.2232,-1.171653489,90.95532984
0.2236,4.848198528,86.63137202
0.224,11.4248372,83.29311806
0.2244,18.23477727,80.96539248
0.2248,24.7355952,79.56389658
0.2252,30.11007877,78.96087364
0.2256,33.30868192,79.10156074
0.226,33.49294352,80.05712982
0.2264,30.72012329,81.8435585
0.2268,25.82793401,84.19637204
0.2272,19.67359818,86.62981353
0.2276,12.80180766,88.6348459
0.228,5.538330092,89.81025458
0.2284,-1.871191108,89.92225262
0.2288,-9.199405465,88.92952514
0.2292,-16.22278669,86.98731515
0.2296,-22.68741805,84.43312693
0.23,-28.19994536,81.75011611
0.2304,-32.07102081,79.48108197
0.2308,-33.37518533,78.05122835
0.2312,-31.5803173,77.58643048
0.2316,-27.14137318,77.9953884
0.232,-21.10338494,79.23319061
0.2324,-14.43465245,81.37139145
0.2328,-7.814883173,84.49726273
0.2332,-1.667094993,88.62144361
0.2336,3.786719375,93.64213844
0.234,8.478471722,99.34083136
0.2344,12.43681699,105.3745914
0.2348,15.69377493,111.2413141
0.2352,18.12254742,116.2275469
0.2356,19.25839334,119.4440412
0.236,18.47020429,120.1611157
0.2364,15.70807333,118.3069146
0.2368,11.7753176,114.4169249
0.2372,7.668750826,109.1215504
0.2376,4.08897111,102.8854136
0.238,1.415115777,96.02715981
0.2384,-0.187416175,88.79313333
0.2388,-0.684850666,81.41095977
0.2392,-0.138945948,74.13159302
0.2396,1.288436052,67.28326795
0.24,3.296194052,61.35694109
0.2404,5.402506509,57.09899984
0.2408,7.031333022,55.42330574
0.2412,7.844114357,56.86239584
