Time,Azimuth,Zenith
0.000166667,-7.25713842,89.40019092
0.000333333,-7.062208432,89.61214261
0.0005,-6.797200096,88.01551111
0.000666667,-6.37893884,88.31532617
0.000833333,-5.859027752,88.68580713
0.001,-5.344603076,87.26603217
0.001166667,-4.67607132,87.80565548
0.001333333,-3.95665318,88.44918911
0.0015,-3.316575261,87.28538814
0.001666667,-2.557068976,88.13510244
0.001833333,-1.808116891,89.09505065
0.002,-1.191282223,88.19651797
0.002166667,-0.515086076,89.34445425
0.002333333,0.094970913,90.57935847
0.0025,0.554472168,89.88313935
0.002666667,1.003956277,91.23624554
0.002833333,1.351446917,92.62870074
0.003,1.566869426,92.01597268
0.003166667,1.711278285,93.422205
0.003333333,1.745428701,94.80744298
0.0035,1.695508354,94.13237872
0.003666667,1.537979392,95.41777381
0.003833333,1.291111908,96.62427175
0.004,1.024144994,95.74888765
0.004166667,0.648357236,96.76149929
0.004333333,0.228553383,97.65521781
0.0045,-0.147907165,96.48483784
0.004666667,-0.597622037,97.1361238
0.004833333,-1.033498904,97.65788869
0.005,-1.379893868,96.16874583
0.005166667,-1.737739101,96.45950403
0.005333333,-2.027908661,96.64241036
0.0055,-2.212191891,94.8901349
0.005666667,-2.338319571,94.90987941
0.005833333,-2.361721444,94.86892306
0.006,-2.296278562,92.97279716
0.006166667,-2.113909702,92.87308284
0.006333333,-1.820661263,92.77212336
0.0065,-1.48410957,90.88148134
0.006666667,-0.996700059,90.83481876
0.006833333,-0.41858111,90.84371333
0.007,0.139442687,89.09837836
0.007166667,0.849195101,89.25513418
0.007333333,1.605186898,89.50783957
0.0075,2.274378341,88.00284691
0.007666667,3.061666007,88.45448417
0.007833333,3.836189479,89.01587067
0.008,4.470982747,87.77853857
0.008166667,5.162559266,88.53476902
0.008333333,5.782626257,89.38424944
0.0085,6.239238444,88.36962677
0.008666667,6.678055968,89.35661893
0.008833333,7.002594361,90.39461912
0.009,7.17709609,89.4999292
0.009166667,7.264312868,90.58098408
0.009333333,7.2219803,91.65665223
0.0095,7.077646838,90.74881482
0.009666667,6.799170071,91.76109698
0.009833333,6.407643246,92.71262612
0.01,5.985013759,91.66106295
0.010166667,5.416022241,92.45847459
0.010333333,4.778111881,93.15569423
0.0105,4.185276444,91.86450589
0.010666667,3.470681488,92.3567105
0.010833333,2.746800417,92.73599344
0.011,2.130599371,91.16960354
0.011166667,1.444980413,91.34705565
0.011333333,0.808572428,91.42900767
0.0115,0.31421338,89.62381514
0.011666667,-0.186036477,89.56099574
0.011833333,-0.594846795,89.44557766
0.012,-0.861887196,87.50270854
0.012166667,-1.077535496,87.33932986
0.012333333,-1.185116937,87.18113592
0.0125,-1.183700529,85.24210426
0.012666667,-1.093867968,85.14924233
0.012833333,-0.908078756,85.12063597
0.013,-0.669761321,83.33243911
0.013166667,-0.335582292,83.4715398
0.013333333,0.056270225,83.7207601
0.0135,0.434754684,82.19803719
0.013666667,0.883998953,82.67965802
0.013833333,1.335722207,83.29133581
0.014,1.717164263,82.08480133
0.014166667,2.11750986,82.93697478
0.014333333,2.46361141,83.90671531
0.0145,2.709008794,82.98873321
0.014666667,2.908420355,84.1474628
0.014833333,3.011513943,85.38206677
0.015,3.019130716,84.65554722
0.015166667,2.919601008,85.98299375
0.015333333,2.707081483,87.3273477
0.0155,2.437414178,86.65354583
0.015666667,2.01856859,87.97664202
0.015833333,1.498994148,89.25646365
0.016,0.98225498,88.49104127
0.016166667,0.305286402,89.6471879
0.016333333,-0.433842344,90.71423118
0.0165,-1.104311181,89.74285183
0.016666667,-1.909510791,90.62126625
0.016833333,-2.720499571,91.39058827
0.017,-3.40804872,90.15778358
0.017166667,-4.172341516,90.72718652
0.017333333,-4.882058605,91.19779487
0.0175,-5.439281481,89.72196295
0.017666667,-5.996527337,90.03688178
0.017833333,-6.450481221,90.28977652
0.018,-6.757201323,88.6583098
0.018166667,-6.987447869,88.84217855
0.018333333,-7.089979344,89.01693527
0.0185,-7.084923175,87.36198529
0.018666667,-6.94571595,87.57343064
0.018833333,-6.685228475,87.83136969
0.019,-6.382758859,86.29363457
0.019166667,-5.921282614,86.6858542
0.019333333,-5.374832061,87.16919449
0.0195,-4.862343502,85.8597269
0.019666667,-4.204665684,86.54163134
0.019833333,-3.518887992,87.33680948
0.02,-2.93337728,86.30681674
0.020166667,-2.250600105,87.31409637
0.020333333,-1.601331897,88.42791187
0.0205,-1.090588259,87.65513577
0.020666667,-0.551020529,88.93944788
0.020833333,-0.094435975,90.29569511
0.021,0.223156561,89.69085236
0.021166667,0.498605232,91.13089833
0.021333333,0.665883754,92.58871279
0.0215,0.729521068,92.01801426
0.021666667,0.695538025,93.44873809
0.021833333,0.557832076,94.8366277
0.022,0.376522291,94.15305593
0.022166667,0.072568822,95.40528672
0.022333333,-0.302152863,96.56270102
0.0225,-0.651823913,95.64060104
0.022666667,-1.110657602,96.58344929
0.022833333,-1.586804801,97.40194075
0.023,-1.978600327,96.16981706
0.023166667,-2.430789108,96.7464006
0.023333333,-2.841074769,97.19996551
0.0235,-3.133290332,95.6622813
0.023666667,-3.416476565,95.90657922
0.023833333,-3.609797808,96.05956989
0.024,-3.686076489,94.29724211
0.024166667,-3.683018327,94.32416032
0.024333333,-3.56583634,94.31259695
0.0245,-3.366512509,92.46011362
0.024666667,-3.03413756,92.43276413
0.024833333,-2.591930057,92.42668491
0.025,-2.127531008,90.63447524
0.025166667,-1.504857578,90.72087948
0.025333333,-0.803738015,90.88019658
0.0255,-0.15210579,89.27446126
0.025666667,0.648889795,89.6050189
0.025833333,1.476531969,90.03899713
0.026,2.18740308,88.68928921
0.026166667,3.006300646,89.32361275
0.026333333,3.7915427,90.06256074
0.0265,4.413805463,88.96520444
0.026666667,5.079973407,89.87661071
0.026833333,5.658757331,90.86404455
0.027,6.061829937,89.94577549
0.027166667,6.43748828,91.02898597
0.027333333,6.692375442,92.13766352
0.0275,6.795993051,91.27709265
0.027666667,6.811457911,92.37715108
0.027833333,6.70186346,93.44396207
0.028,6.496859698,92.50321419
0.028166667,6.169443135,93.45695878
0.028333333,5.743587192,94.32647247
0.0285,5.296211123,93.18531261
0.028666667,4.727901325,93.86476334
0.028833333,4.112127186,94.43058
0.029,3.548524604,93.01687087
0.029166667,2.89945029,93.36381417
0.029333333,2.263865465,93.59721776
0.0295,1.735578552,91.90683806
0.029666667,1.178497783,91.94868832
0.029833333,0.688509728,91.90623521
0.03,0.329851445,90.00583513
0.030166667,0.002253092,89.84816095
0.030333333,-0.225689058,89.65678693
0.0305,-0.332707849,87.66790526
0.030666667,-0.362277243,87.46776641
0.030833333,-0.287622229,87.29379754
0.031,-0.132020074,85.36329939
0.031166667,0.121820201,85.29210558
0.031333333,0.455715616,85.30244986
0.0315,0.811943006,83.56666173
0.031666667,1.255032833,83.76971099
